timestamp,host,event_type,severity,observed_state
2020-08-07T14:32:25.358Z,MORDORDC.theshire.local,sysmon_process_access,medium,suspicious
2020-08-07T14:32:25.359Z,MORDORDC.theshire.local,sysmon_process_access,medium,suspicious
2020-08-07T14:32:25.359Z,MORDORDC.theshire.local,sysmon_process_access,medium,suspicious
2020-08-07T14:32:25.359Z,WORKSTATION5.theshire.local,registry_change,medium,suspicious
2020-08-07T14:32:25.359Z,WORKSTATION5.theshire.local,other_security_event,medium,suspicious
2020-08-07T14:32:25.359Z,WORKSTATION5.theshire.local,other_security_event,medium,suspicious
2020-08-07T14:32:26.361Z,WORKSTATION5.theshire.local,sysmon_network_connection,medium,suspicious
2020-08-07T14:32:27.361Z,WORKSTATION6.theshire.local,other_security_event,low,benign
2020-08-07T14:32:27.362Z,WORKSTATION6.theshire.local,registry_change,medium,suspicious
2020-08-07T14:32:28.364Z,WORKSTATION5.theshire.local,other_security_event,low,benign
2020-08-07T14:32:28.364Z,WORKSTATION5.theshire.local,other_security_event,low,benign
2020-08-07T14:32:28.364Z,WORKSTATION6.theshire.local,other_security_event,low,benign
2020-08-07T14:32:28.364Z,WORKSTATION6.theshire.local,other_security_event,low,benign
2020-08-07T14:32:28.365Z,WORKSTATION5.theshire.local,powershell_pipeline,medium,suspicious
2020-08-07T14:32:28.365Z,WORKSTATION5.theshire.local,powershell_pipeline,medium,suspicious
2020-08-07T14:32:28.366Z,WORKSTATION5.theshire.local,powershell_module,medium,suspicious
2020-08-07T14:32:28.367Z,WORKSTATION5.theshire.local,powershell_module,medium,suspicious
2020-08-07T14:32:28.368Z,WORKSTATION5.theshire.local,powershell_pipeline,medium,suspicious
2020-08-07T14:32:28.368Z,WORKSTATION5.theshire.local,powershell_pipeline,medium,suspicious
2020-08-07T14:32:28.368Z,MORDORDC.theshire.local,other_security_event,low,benign
2020-08-07T14:32:28.368Z,WORKSTATION5.theshire.local,powershell_pipeline,medium,suspicious
2020-08-07T14:32:28.369Z,WORKSTATION5.theshire.local,powershell_module,medium,suspicious
2020-08-07T14:32:28.369Z,MORDORDC.theshire.local,other_security_event,low,benign
2020-08-07T14:32:29.368Z,WORKSTATION5.theshire.local,powershell_pipeline,medium,suspicious
2020-08-07T14:32:29.368Z,MORDORDC.theshire.local,other_security_event,high,compromised
2020-08-07T14:32:29.368Z,MORDORDC.theshire.local,other_security_event,low,benign
2020-08-07T14:32:29.368Z,MORDORDC.theshire.local,registry_change,medium,suspicious
2020-08-07T14:32:29.369Z,MORDORDC.theshire.local,security_logon,low,benign
2020-08-07T14:32:29.370Z,MORDORDC.theshire.local,registry_change,medium,suspicious
2020-08-07T14:32:29.370Z,MORDORDC.theshire.local,other_security_event,low,benign
2020-08-07T14:32:29.370Z,MORDORDC.theshire.local,other_security_event,low,benign
2020-08-07T14:32:29.370Z,MORDORDC.theshire.local,other_security_event,low,benign
2020-08-07T14:32:29.371Z,WORKSTATION5.theshire.local,powershell_module,medium,suspicious
2020-08-07T14:32:29.372Z,WORKSTATION5.theshire.local,powershell_module,medium,suspicious
2020-08-07T14:32:29.372Z,WORKSTATION5.theshire.local,other_security_event,low,benign
2020-08-07T14:32:29.373Z,WORKSTATION5.theshire.local,registry_change,medium,suspicious
2020-08-07T14:32:29.373Z,WORKSTATION5.theshire.local,other_security_event,low,benign
2020-08-07T14:32:29.373Z,WORKSTATION5.theshire.local,registry_change,medium,suspicious
2020-08-07T14:32:30.373Z,WORKSTATION5.theshire.local,other_security_event,low,benign
