event_id,time,host_id,event_type,event_score,source_state,is_true_signal
event_000000,0,host_004,network_alert,0.8892330867563341,compromised,True
event_000001,0,host_031,endpoint_alert,0.6719991164520286,compromised,True
event_000002,0,host_036,network_alert,0.8661007387608547,compromised,True
event_000003,0,host_045,network_alert,0.24945525697760965,benign,False
event_000004,0,host_049,auth_alert,0.6435214279436698,compromised,True
event_000005,1,host_004,endpoint_alert,0.8124987210832572,compromised,True
event_000006,1,host_021,auth_alert,0.6342181870947439,compromised,True
event_000007,1,host_031,endpoint_alert,0.6333069693401183,compromised,True
event_000008,1,host_036,network_alert,0.8959253435070019,compromised,True
event_000009,2,host_004,endpoint_alert,0.6158133860675191,compromised,True
event_000010,2,host_019,endpoint_alert,0.49628279774180833,suspicious,True
event_000011,2,host_021,endpoint_alert,0.7014507519749196,compromised,True
event_000012,2,host_036,network_alert,0.6874813165400547,compromised,True
event_000013,2,host_049,endpoint_alert,0.9771027143412181,compromised,True
event_000014,3,host_004,endpoint_alert,0.8933647242021754,compromised,True
event_000015,3,host_024,auth_alert,0.08954666533595632,benign,False
event_000016,3,host_038,endpoint_alert,0.8518884008501613,compromised,True
event_000017,3,host_049,network_alert,0.9056571479329288,compromised,True
event_000018,4,host_002,auth_alert,0.2988285844648209,benign,False
event_000019,4,host_004,endpoint_alert,0.8302860118660041,compromised,True
event_000020,4,host_027,auth_alert,0.308459206534576,suspicious,True
event_000021,4,host_031,endpoint_alert,0.7495795735961707,compromised,True
event_000022,4,host_036,auth_alert,0.6899630510196705,compromised,True
event_000023,4,host_038,endpoint_alert,0.6187165655724857,compromised,True
event_000024,5,host_004,endpoint_alert,0.9258774147665718,compromised,True
event_000025,5,host_021,endpoint_alert,0.8034652201354012,compromised,True
event_000026,5,host_027,network_alert,0.6769137453877729,compromised,True
event_000027,5,host_031,auth_alert,0.8757719387431422,compromised,True
event_000028,5,host_049,network_alert,0.9037129922745853,compromised,True
event_000029,6,host_004,auth_alert,0.8499880483154005,compromised,True
event_000030,6,host_031,endpoint_alert,0.8607166187400705,compromised,True
event_000031,6,host_032,auth_alert,0.29761985335889635,benign,False
event_000032,6,host_036,network_alert,0.896891733463976,compromised,True
event_000033,6,host_049,auth_alert,0.8951718174630431,compromised,True
event_000034,7,host_004,auth_alert,0.8302515675061365,compromised,True
event_000035,7,host_019,network_alert,0.6589809371276145,compromised,True
event_000036,7,host_021,endpoint_alert,0.8697637849668954,compromised,True
event_000037,7,host_025,auth_alert,0.9359753703193905,compromised,True
event_000038,7,host_027,auth_alert,0.6697426269745211,compromised,True
event_000039,7,host_031,endpoint_alert,0.6551494967727188,compromised,True
event_000040,7,host_036,network_alert,0.656406816169622,compromised,True
event_000041,7,host_038,endpoint_alert,0.6453026599551429,compromised,True
event_000042,7,host_047,endpoint_alert,0.7204755463005503,compromised,True
event_000043,7,host_049,endpoint_alert,0.6857252899176002,compromised,True
event_000044,8,host_011,network_alert,0.9368330969550089,compromised,True
event_000045,8,host_013,endpoint_alert,0.9039507560902579,compromised,True
event_000046,8,host_021,endpoint_alert,0.6657378891728056,compromised,True
event_000047,8,host_024,network_alert,0.30696440707236744,benign,False
event_000048,8,host_025,auth_alert,0.8283193550191307,compromised,True
event_000049,8,host_027,network_alert,0.9782764995817821,compromised,True
event_000050,8,host_034,auth_alert,0.20752649089017836,benign,False
event_000051,8,host_036,network_alert,0.9758705410197701,compromised,True
event_000052,8,host_047,auth_alert,0.9446993764193616,compromised,True
event_000053,8,host_049,endpoint_alert,0.7862750661126028,compromised,True
event_000054,9,host_011,endpoint_alert,0.9209019718491308,compromised,True
event_000055,9,host_019,endpoint_alert,0.8019361955817395,compromised,True
event_000056,9,host_021,network_alert,0.8397162513386021,compromised,True
event_000057,9,host_025,network_alert,0.7703187847376112,compromised,True
event_000058,9,host_027,auth_alert,0.7056484005083092,compromised,True
event_000059,9,host_031,endpoint_alert,0.8893443740099228,compromised,True
event_000060,9,host_047,auth_alert,0.6155598449085735,compromised,True
event_000061,9,host_049,network_alert,0.7766899133535882,compromised,True
event_000062,10,host_004,network_alert,0.9513866335435577,compromised,True
event_000063,10,host_008,auth_alert,0.5701222514669936,suspicious,True
event_000064,10,host_018,endpoint_alert,0.25318621980931916,benign,False
event_000065,10,host_019,endpoint_alert,0.9403412549258048,compromised,True
event_000066,10,host_021,network_alert,0.7322519408956154,compromised,True
event_000067,10,host_025,endpoint_alert,0.9368918736253102,compromised,True
event_000068,10,host_027,endpoint_alert,0.8727028761037956,compromised,True
event_000069,10,host_031,auth_alert,0.8184513332567528,compromised,True
event_000070,10,host_038,endpoint_alert,0.6255233341621514,compromised,True
event_000071,10,host_040,auth_alert,0.24036207948553914,benign,False
event_000072,10,host_049,network_alert,0.8012259810083274,compromised,True
event_000073,11,host_004,endpoint_alert,0.6590677943517005,compromised,True
event_000074,11,host_011,network_alert,0.8563470412520291,compromised,True
event_000075,11,host_021,auth_alert,0.9647143184851037,compromised,True
