event_id,host_id,generated_time,delivery_time,latency,event_type,event_score,is_synthetic_flood,true_state_at_generated_time,true_state_at_delivery_time,true_compromised_at_delivery_time,belief_before,belief_after,belief_delta,entropy_before,entropy_after,entropy_delta,belief_error_before,belief_error_after,belief_error_delta,usefulness_label
event_000000,host_004,0,0,0,network_alert,0.8892330867563341,False,compromised,compromised,1,0.05,0.3923082716890835,0.3423082716890835,0.28639695711595625,0.966273013080417,0.6798760559644608,0.95,0.6076917283109164,-0.3423082716890835,useful
noise_event_000449,host_024,0,0,0,network_alert,0.37379937322624573,False,benign,benign,0,0.05,0.2634498433065614,0.21344984330656142,0.28639695711595625,0.8319077392444548,0.5455107821284986,0.05,0.2634498433065614,0.21344984330656142,misleading
event_000001,host_031,0,0,0,endpoint_alert,0.6719991164520286,False,compromised,compromised,1,0.05,0.39799977911300716,0.34799977911300717,0.28639695711595625,0.9697685084077845,0.6833715512918282,0.95,0.6020002208869928,-0.34799977911300717,useful
noise_event_000084,host_035,0,0,0,endpoint_alert,0.1874391307334027,False,benign,benign,0,0.05,0.27685978268335065,0.22685978268335066,0.28639695711595625,0.8511366795836909,0.5647397224677346,0.05,0.27685978268335065,0.22685978268335066,misleading
event_000002,host_036,0,0,0,network_alert,0.8661007387608547,False,compromised,compromised,1,0.05,0.38652518469021363,0.33652518469021364,0.28639695711595625,0.9625204774002205,0.6761235202842643,0.95,0.6134748153097864,-0.33652518469021353,useful
event_000003,host_045,0,0,0,network_alert,0.24945525697760965,False,benign,benign,0,0.05,0.2323638142444024,0.1823638142444024,0.28639695711595625,0.7821092580413247,0.49571230092536844,0.05,0.2323638142444024,0.1823638142444024,misleading
event_000005,host_004,1,1,0,endpoint_alert,0.8124987210832572,False,compromised,compromised,1,0.38888518897219265,0.7720098692430069,0.3831246802708142,0.9640763521372211,0.7744911626678539,-0.1895851894693672,0.6111148110278073,0.22799013075699315,-0.38312468027081414,useful
event_000006,host_021,1,1,0,auth_alert,0.6342181870947439,False,compromised,compromised,1,0.05,0.28855454677368597,0.23855454677368598,0.28639695711595625,0.8668467318596339,0.5804497747436776,0.95,0.711445453226314,-0.23855454677368593,useful
event_000007,host_031,1,1,0,endpoint_alert,0.6333069693401183,False,compromised,compromised,1,0.3945197813218771,0.7328465236569066,0.3383267423350295,0.9676544653980874,0.8373503335495945,-0.13030413184849288,0.605480218678123,0.2671534763430934,-0.3383267423350296,useful
event_000009,host_004,2,2,0,endpoint_alert,0.6158133860675191,False,compromised,compromised,1,0.7647897705505767,0.999,0.23421022944942327,0.7869839111633566,0.011407757737461145,-0.7755761534258955,0.23521022944942327,0.0010000000000000009,-0.23421022944942327,useful
event_000010,host_019,2,2,0,endpoint_alert,0.49628279774180833,False,suspicious,suspicious,0,0.05,0.35407069943545205,0.30407069943545206,0.28639695711595625,0.9376510869299901,0.6512541298140339,0.05,0.35407069943545205,0.30407069943545206,misleading
event_000011,host_021,2,2,0,endpoint_alert,0.7014507519749196,False,compromised,compromised,1,0.28616900130594913,0.641531689299679,0.35536268799372983,0.8637209392781812,0.9414044224913982,0.07768348321321705,0.7138309986940509,0.35846831070032104,-0.35536268799372983,useful
event_000012,host_036,2,2,0,network_alert,0.6874813165400547,False,compromised,compromised,1,0.3798283335148784,0.671698662649892,0.2918703291350136,0.9579206893113323,0.9131814353840384,-0.04473925392729394,0.6201716664851216,0.328301337350108,-0.29187032913501354,useful
noise_event_000283,host_039,2,2,0,endpoint_alert,0.232901764268583,False,benign,benign,0,0.05,0.28822544106714576,0.23822544106714577,0.28639695711595625,0.8664178854843319,0.5800209283683756,0.05,0.28822544106714576,0.23822544106714577,misleading
event_000013,host_049,2,2,0,endpoint_alert,0.9771027143412181,False,compromised,compromised,1,0.05,0.4742756785853045,0.4242756785853045,0.28639695711595625,0.998089776676022,0.7116928195600657,0.95,0.5257243214146955,-0.42427567858530446,useful
noise_event_000453,host_000,3,3,0,network_alert,0.3775572760105564,False,benign,benign,0,0.05,0.26438931900263907,0.21438931900263908,0.28639695711595625,0.8332979431214107,0.5469009860054544,0.05,0.26438931900263907,0.21438931900263908,misleading
event_000014,host_004,3,3,0,endpoint_alert,0.8933647242021754,False,compromised,compromised,1,0.98951,0.999,0.009489999999999998,0.08402430226459584,0.011407757737461145,-0.0726165445271347,0.01049,0.0010000000000000009,-0.009489999999999998,useful
event_000015,host_024,3,3,0,auth_alert,0.08954666533595632,False,benign,benign,0,0.2571101695105132,0.35949683584450226,0.10238666633398907,0.8223541930176307,0.9422647324580935,0.11991053944046282,0.2571101695105132,0.35949683584450226,0.10238666633398907,misleading
event_000016,host_038,3,3,0,endpoint_alert,0.8518884008501613,False,compromised,compromised,1,0.05,0.4429721002125403,0.3929721002125403,0.28639695711595625,0.9905957363279251,0.7041987792119688,0.95,0.5570278997874597,-0.39297210021254025,useful
event_000018,host_002,4,4,0,auth_alert,0.2988285844648209,False,benign,benign,0,0.05,0.20470714611620522,0.15470714611620523,0.28639695711595625,0.7312430733802844,0.44484611626432813,0.05,0.20470714611620522,0.15470714611620523,misleading
event_000019,host_004,4,4,0,endpoint_alert,0.8302860118660041,False,compromised,compromised,1,0.98951,0.999,0.009489999999999998,0.08402430226459584,0.011407757737461145,-0.0726165445271347,0.01049,0.0010000000000000009,-0.009489999999999998,useful
event_000020,host_027,4,4,0,auth_alert,0.308459206534576,False,suspicious,suspicious,0,0.05,0.20711480163364399,0.157114801633644,0.28639695711595625,0.7359314713673393,0.449534514251383,0.05,0.20711480163364399,0.157114801633644,misleading
noise_event_000188,host_029,4,4,0,endpoint_alert,0.30855028275584484,False,benign,benign,0,0.05,0.3071375706889612,0.2571375706889612,0.28639695711595625,0.8898415970970055,0.6034446399810492,0.05,0.3071375706889612,0.2571375706889612,misleading
event_000021,host_031,4,4,0,endpoint_alert,0.7495795735961707,False,compromised,compromised,1,0.7125652990577728,0.999,0.2864347009422272,0.8653843845240479,0.011407757737461145,-0.8539766267865867,0.28743470094222723,0.0010000000000000009,-0.2864347009422272,useful
event_000022,host_036,4,4,0,auth_alert,0.6899630510196705,False,compromised,compromised,1,0.6593268592631591,0.9118176220180767,0.25249076275491755,0.9254613982870645,0.43037355506529823,-0.4950878432217663,0.34067314073684085,0.0881823779819233,-0.25249076275491755,useful
event_000023,host_038,4,4,0,endpoint_alert,0.6187165655724857,False,compromised,compromised,1,0.4390423792104149,0.7737215206035363,0.3346791413931214,0.9892516575440206,0.7714672306052899,-0.21778442693873068,0.5609576207895851,0.22627847939646373,-0.3346791413931214,useful
event_000024,host_004,5,5,0,endpoint_alert,0.9258774147665718,False,compromised,compromised,1,0.98951,0.999,0.009489999999999998,0.08402430226459584,0.011407757737461145,-0.0726165445271347,0.01049,0.0010000000000000009,-0.009489999999999998,useful
noise_event_000251,host_014,5,5,0,network_alert,0.3790417672952796,False,benign,benign,0,0.05,0.2647604418238199,0.21476044182381993,0.28639695711595625,0.8338453130847472,0.5474483559687909,0.05,0.2647604418238199,0.21476044182381993,misleading
event_000026,host_027,5,5,0,network_alert,0.6769137453877729,False,compromised,compromised,1,0.20554365361730756,0.4947720899642508,0.2892284363469433,0.7328777947964582,0.9999211378416566,0.2670433430451984,0.7944563463826925,0.5052279100357492,-0.2892284363469433,useful
event_000029,host_004,6,6,0,auth_alert,0.8499880483154005,False,compromised,compromised,1,0.98951,0.999,0.009489999999999998,0.08402430226459584,0.011407757737461145,-0.0726165445271347,0.01049,0.0010000000000000009,-0.009489999999999998,useful
event_000030,host_031,6,6,0,endpoint_alert,0.8607166187400705,False,compromised,compromised,1,0.9801149,0.999,0.018885099999999988,0.14079492558718532,0.011407757737461145,-0.12938716784972418,0.01988509999999999,0.0010000000000000009,-0.018885099999999988,useful
event_000031,host_032,6,6,0,auth_alert,0.29761985335889635,False,benign,benign,0,0.05,0.20440496333972408,0.1544049633397241,0.28639695711595625,0.7306510174996994,0.44425406038374315,0.05,0.20440496333972408,0.1544049633397241,misleading
event_000032,host_036,6,6,0,network_alert,0.896891733463976,False,compromised,compromised,1,0.894667451339917,0.999,0.10433254866008301,0.4856749652838443,0.011407757737461145,-0.47426720754638313,0.10533254866008301,0.0010000000000000009,-0.10433254866008301,useful
noise_event_000355,host_045,6,6,0,auth_alert,0.195985937326336,False,benign,benign,0,0.22169191108015618,0.3506883954117402,0.128996484331584,0.7632448716719882,0.9346813487202572,0.17143647704826903,0.22169191108015618,0.3506883954117402,0.128996484331584,misleading
event_000033,host_049,6,6,0,auth_alert,0.8951718174630431,False,compromised,compromised,1,0.45755752398908595,0.7613504783548467,0.30379295436576076,0.9947961028943554,0.7927872591919136,-0.20200884370244176,0.5424424760109141,0.2386495216451533,-0.3037929543657608,useful
event_000034,host_004,7,7,0,auth_alert,0.8302515675061365,False,compromised,compromised,1,0.98951,0.999,0.009489999999999998,0.08402430226459584,0.011407757737461145,-0.0726165445271347,0.01049,0.0010000000000000009,-0.009489999999999998,useful
event_000037,host_025,7,7,0,auth_alert,0.9359753703193905,False,compromised,compromised,1,0.05,0.3639938425798476,0.31399384257984764,0.28639695711595625,0.9459485186837592,0.6595515615678029,0.95,0.6360061574201523,-0.31399384257984764,useful
event_000038,host_027,7,7,0,auth_alert,0.6697426269745211,False,compromised,compromised,1,0.4859211253739622,0.7333567821175925,0.24743565674363027,0.9994279976394038,0.8366065180157432,-0.16282147962366067,0.5140788746260379,0.2666432178824075,-0.24743565674363033,useful
event_000039,host_031,7,7,0,endpoint_alert,0.6551494967727188,False,compromised,compromised,1,0.98951,0.999,0.009489999999999998,0.08402430226459584,0.011407757737461145,-0.0726165445271347,0.01049,0.0010000000000000009,-0.009489999999999998,useful
event_000040,host_036,7,7,0,network_alert,0.656406816169622,False,compromised,compromised,1,0.98951,0.999,0.009489999999999998,0.08402430226459584,0.011407757737461145,-0.0726165445271347,0.01049,0.0010000000000000009,-0.009489999999999998,useful
event_000041,host_038,7,7,0,endpoint_alert,0.6453026599551429,False,compromised,compromised,1,0.7522262677200906,0.999,0.2467737322799094,0.8077304679875146,0.011407757737461145,-0.7963227102500534,0.2477737322799094,0.0010000000000000009,-0.2467737322799094,useful
event_000042,host_047,7,7,0,endpoint_alert,0.7204755463005503,False,compromised,compromised,1,0.05,0.41011888657513756,0.3601188865751376,0.28639695711595625,0.9765628528872698,0.6901658957713136,0.95,0.5898811134248625,-0.36011888657513746,useful
event_000043,host_049,7,7,0,endpoint_alert,0.6857252899176002,False,compromised,compromised,1,0.7542369735712983,0.999,0.24476302642870174,0.8044933530392124,0.011407757737461145,-0.7930855953017513,0.24576302642870174,0.0010000000000000009,-0.24476302642870174,useful
noise_event_000217,host_005,8,8,0,auth_alert,0.17587795100600565,False,benign,benign,0,0.05,0.1739694877515014,0.12396948775150139,0.28639695711595625,0.6667052246345279,0.3803082675185716,0.05,0.1739694877515014,0.12396948775150139,misleading
event_000044,host_011,8,8,0,network_alert,0.9368330969550089,False,compromised,compromised,1,0.05,0.4042082742387522,0.35420827423875223,0.28639695711595625,0.9733591103885904,0.6869621532726341,0.95,0.5957917257612477,-0.35420827423875223,useful
event_000045,host_013,8,8,0,endpoint_alert,0.9039507560902579,False,compromised,compromised,1,0.05,0.4559876890225644,0.40598768902256444,0.28639695711595625,0.9944035180817264,0.7080065609657702,0.95,0.5440123109774355,-0.40598768902256444,useful
noise_event_000446,host_014,8,8,0,network_alert,0.21483528321656986,False,benign,benign,0,0.25838184194121067,0.4320906627453531,0.17370882080414246,0.8242947195805768,0.986652294742075,0.1623575751614983,0.25838184194121067,0.4320906627453531,0.17370882080414246,misleading
event_000046,host_021,8,8,0,endpoint_alert,0.6657378891728056,False,compromised,compromised,1,0.6069153432172877,0.9533498155104891,0.34643447229320146,0.9667613618641246,0.2719930430525883,-0.6947683188115363,0.3930846567827123,0.04665018448951086,-0.34643447229320146,useful
event_000047,host_024,8,8,0,network_alert,0.30696440707236744,False,benign,benign,0,0.3443284113636553,0.5410695131317471,0.19674110176809184,0.9289005946215608,0.9951277109903303,0.06622711636876943,0.3443284113636553,0.5410695131317471,0.19674110176809184,misleading
event_000048,host_025,8,8,0,auth_alert,0.8283193550191307,False,compromised,compromised,1,0.36085390415404917,0.6479337429088319,0.2870798387547827,0.943389711667507,0.9358998731108059,-0.007489838556701045,0.6391460958459508,0.3520662570911681,-0.2870798387547827,useful
event_000050,host_034,8,8,0,auth_alert,0.20752649089017836,False,benign,benign,0,0.05,0.1818816227225446,0.1318816227225446,0.28639695711595625,0.6841760781290582,0.397779121013102,0.05,0.1818816227225446,0.1318816227225446,misleading
event_000052,host_047,8,8,0,auth_alert,0.9446993764193616,False,compromised,compromised,1,0.40651769770938617,0.7226925418142266,0.3161748441048404,0.974635750334378,0.8517560419913071,-0.12287970834307094,0.5934823022906138,0.2773074581857734,-0.3161748441048404,useful
event_000053,host_049,8,8,0,endpoint_alert,0.7862750661126028,False,compromised,compromised,1,0.98951,0.999,0.009489999999999998,0.08402430226459584,0.011407757737461145,-0.0726165445271347,0.01049,0.0010000000000000009,-0.009489999999999998,useful
event_000054,host_011,9,9,0,endpoint_alert,0.9209019718491308,False,compromised,compromised,1,0.4006661914963647,0.8108916844586473,0.41022549296228267,0.9713389578195273,0.699602393904349,-0.2717365639151783,0.5993338085036353,0.18910831554135266,-0.4102254929622826,useful
noise_event_000391,host_013,9,9,0,auth_alert,0.4266859248957257,False,compromised,compromised,1,0.4519278121323388,0.6385992933562702,0.1866714812239314,0.9933217393877336,0.9438397416349952,-0.04948199775273843,0.5480721878676612,0.3614007066437298,-0.1866714812239314,useful
event_000055,host_019,9,9,0,endpoint_alert,0.8019361955817395,False,compromised,compromised,1,0.3334137622576263,0.7138978111530612,0.38048404889543486,0.9183762419814505,0.8636328169124778,-0.05474342506897267,0.6665862377423737,0.28610218884693883,-0.38048404889543486,useful
event_000056,host_021,9,9,0,network_alert,0.8397162513386021,False,compromised,compromised,1,0.9443163173553842,0.999,0.05468368264461576,0.31006691833360883,0.011407757737461145,-0.29865916059614767,0.05568368264461576,0.0010000000000000009,-0.05468368264461576,useful
event_000057,host_025,9,9,0,network_alert,0.7703187847376112,False,compromised,compromised,1,0.6419544054797436,0.9545341016641464,0.31257969618440284,0.9410489177123811,0.2668148511187586,-0.6742340665936225,0.3580455945202564,0.04546589833585357,-0.31257969618440284,useful
noise_event_000401,host_026,9,9,0,endpoint_alert,0.22297238915124243,False,benign,benign,0,0.05,0.2857430972878106,0.23574309728781062,0.28639695711595625,0.8631586524610928,0.5767616953451365,0.05,0.2857430972878106,0.23574309728781062,misleading
noise_event_000050,host_044,9,9,0,network_alert,0.195604789253932,False,benign,benign,0,0.05,0.218901197313483,0.16890119731348302,0.28639695711595625,0.7581560401195515,0.47175908300359526,0.05,0.218901197313483,0.16890119731348302,misleading
event_000060,host_047,9,9,0,auth_alert,0.6155598449085735,False,compromised,compromised,1,0.7159656163960844,0.9498555776232278,0.23388996122714345,0.8608898720960968,0.28701013643991224,-0.5738797356561846,0.28403438360391564,0.05014442237677219,-0.23388996122714345,useful
event_000061,host_049,9,9,0,network_alert,0.7766899133535882,False,compromised,compromised,1,0.98951,0.999,0.009489999999999998,0.08402430226459584,0.011407757737461145,-0.0726165445271347,0.01049,0.0010000000000000009,-0.009489999999999998,useful
event_000062,host_004,10,10,0,network_alert,0.9513866335435577,False,compromised,compromised,1,0.970813751,0.999,0.028186248999999997,0.19029437640122285,0.011407757737461145,-0.1788866186637617,0.029186248999999997,0.0010000000000000009,-0.028186248999999997,useful
noise_event_000382,host_006,10,10,0,auth_alert,0.13156019177132192,False,benign,benign,0,0.05,0.16289004794283046,0.11289004794283046,0.28639695711595625,0.6411788545257111,0.35478189740975485,0.05,0.16289004794283046,0.11289004794283046,misleading
event_000063,host_008,10,10,0,auth_alert,0.5701222514669936,False,suspicious,suspicious,0,0.05,0.27253056286674837,0.22253056286674838,0.28639695711595625,0.8450724440472666,0.5586754869313103,0.05,0.27253056286674837,0.22253056286674838,misleading
event_000064,host_018,10,10,0,endpoint_alert,0.25318621980931916,False,benign,benign,0,0.05,0.29329655495232976,0.24329655495232977,0.28639695711595625,0.8729416367980214,0.5865446796820651,0.05,0.29329655495232976,0.24329655495232977,misleading
event_000065,host_019,10,10,0,endpoint_alert,0.9403412549258048,False,compromised,compromised,1,0.7072588330415306,0.999,0.2917411669584694,0.8722359172843024,0.011407757737461145,-0.8608281595468412,0.2927411669584694,0.0010000000000000009,-0.2917411669584694,useful
event_000066,host_021,10,10,0,network_alert,0.7322519408956154,False,compromised,compromised,1,0.98951,0.999,0.009489999999999998,0.08402430226459584,0.011407757737461145,-0.0726165445271347,0.01049,0.0010000000000000009,-0.009489999999999998,useful
event_000067,host_025,10,10,0,endpoint_alert,0.9368918736253102,False,compromised,compromised,1,0.945488760647505,0.999,0.05351123935249502,0.30525974265378286,0.011407757737461145,-0.2938519849163217,0.05451123935249502,0.0010000000000000009,-0.05351123935249502,useful
event_000069,host_031,10,10,0,auth_alert,0.8184513332567528,False,compromised,compromised,1,0.970813751,0.999,0.028186248999999997,0.19029437640122285,0.011407757737461145,-0.1788866186637617,0.029186248999999997,0.0010000000000000009,-0.028186248999999997,useful
event_000070,host_038,10,10,0,endpoint_alert,0.6255233341621514,False,compromised,compromised,1,0.970813751,0.999,0.028186248999999997,0.19029437640122285,0.011407757737461145,-0.1788866186637617,0.029186248999999997,0.0010000000000000009,-0.028186248999999997,useful
event_000071,host_040,10,10,0,auth_alert,0.24036207948553914,False,benign,benign,0,0.05,0.1900905198713848,0.14009051987138482,0.28639695711595625,0.7016607820377243,0.41526382492176805,0.05,0.1900905198713848,0.14009051987138482,misleading
event_000072,host_049,10,10,0,network_alert,0.8012259810083274,False,compromised,compromised,1,0.98951,0.999,0.009489999999999998,0.08402430226459584,0.011407757737461145,-0.0726165445271347,0.01049,0.0010000000000000009,-0.009489999999999998,useful
noise_event_000168,host_000,11,11,0,endpoint_alert,0.12827487737823365,False,benign,benign,0,0.2478266066517001,0.4598953259962585,0.2120687193445584,0.8078151694957234,0.9953541932309544,0.18753902373523101,0.2478266066517001,0.4598953259962585,0.2120687193445584,misleading
event_000073,host_004,11,11,0,endpoint_alert,0.6590677943517005,False,compromised,compromised,1,0.98951,0.999,0.009489999999999998,0.08402430226459584,0.011407757737461145,-0.0726165445271347,0.01049,0.0010000000000000009,-0.009489999999999998,useful
noise_event_000147,host_005,11,11,0,network_alert,0.34106327446597196,False,benign,benign,0,0.17028746999579406,0.37555328861228704,0.20526581861649298,0.6583619660896282,0.9548408155947938,0.2964788495051657,0.17028746999579406,0.37555328861228704,0.20526581861649298,misleading
event_000075,host_021,11,11,0,auth_alert,0.9647143184851037,False,compromised,compromised,1,0.98951,0.999,0.009489999999999998,0.08402430226459584,0.011407757737461145,-0.0726165445271347,0.01049,0.0010000000000000009,-0.009489999999999998,useful
