time,host_id,state
0,host_000,benign
0,host_001,benign
0,host_002,benign
0,host_003,benign
0,host_004,compromised
0,host_005,benign
0,host_006,benign
0,host_007,benign
0,host_008,benign
0,host_009,benign
0,host_010,benign
0,host_011,benign
0,host_012,benign
0,host_013,benign
0,host_014,benign
0,host_015,benign
0,host_016,benign
0,host_017,benign
0,host_018,benign
0,host_019,benign
0,host_020,benign
0,host_021,compromised
0,host_022,benign
0,host_023,benign
0,host_024,benign
0,host_025,benign
0,host_026,benign
0,host_027,benign
0,host_028,benign
0,host_029,benign
0,host_030,benign
0,host_031,compromised
0,host_032,benign
0,host_033,benign
0,host_034,benign
0,host_035,benign
0,host_036,compromised
0,host_037,benign
0,host_038,benign
0,host_039,benign
0,host_040,benign
0,host_041,benign
0,host_042,benign
0,host_043,benign
0,host_044,benign
0,host_045,benign
0,host_046,benign
0,host_047,benign
0,host_048,benign
0,host_049,compromised
1,host_000,benign
1,host_001,benign
1,host_002,benign
1,host_003,benign
1,host_004,compromised
1,host_005,benign
1,host_006,benign
1,host_007,benign
1,host_008,benign
1,host_009,benign
1,host_010,benign
1,host_011,benign
1,host_012,benign
1,host_013,benign
1,host_014,benign
1,host_015,benign
1,host_016,benign
1,host_017,benign
1,host_018,benign
1,host_019,benign
1,host_020,benign
1,host_021,compromised
1,host_022,benign
1,host_023,benign
1,host_024,benign
1,host_025,benign
1,host_026,benign
1,host_027,benign
1,host_028,benign
1,host_029,benign
1,host_030,benign
1,host_031,compromised
1,host_032,benign
1,host_033,benign
1,host_034,benign
1,host_035,benign
1,host_036,compromised
1,host_037,benign
1,host_038,benign
1,host_039,benign
1,host_040,benign
1,host_041,benign
1,host_042,benign
1,host_043,benign
1,host_044,benign
1,host_045,benign
1,host_046,benign
1,host_047,benign
1,host_048,benign
1,host_049,compromised
2,host_000,benign
2,host_001,suspicious
2,host_002,benign
2,host_003,benign
2,host_004,compromised
2,host_005,benign
2,host_006,benign
2,host_007,benign
2,host_008,benign
2,host_009,benign
2,host_010,benign
2,host_011,benign
2,host_012,benign
2,host_013,benign
2,host_014,benign
2,host_015,benign
2,host_016,benign
2,host_017,benign
2,host_018,benign
2,host_019,suspicious
2,host_020,benign
2,host_021,compromised
2,host_022,benign
2,host_023,benign
2,host_024,benign
2,host_025,benign
2,host_026,benign
2,host_027,benign
2,host_028,benign
2,host_029,benign
2,host_030,benign
2,host_031,compromised
2,host_032,benign
2,host_033,benign
2,host_034,benign
2,host_035,benign
2,host_036,compromised
2,host_037,benign
2,host_038,suspicious
2,host_039,benign
2,host_040,benign
2,host_041,benign
2,host_042,benign
2,host_043,benign
2,host_044,benign
2,host_045,benign
2,host_046,benign
2,host_047,benign
2,host_048,benign
2,host_049,compromised
3,host_000,benign
3,host_001,suspicious
3,host_002,benign
3,host_003,benign
3,host_004,compromised
3,host_005,benign
3,host_006,benign
3,host_007,benign
3,host_008,benign
3,host_009,benign
3,host_010,benign
3,host_011,benign
3,host_012,benign
3,host_013,benign
3,host_014,benign
3,host_015,benign
3,host_016,benign
3,host_017,benign
3,host_018,benign
3,host_019,suspicious
3,host_020,benign
3,host_021,compromised
3,host_022,benign
3,host_023,benign
3,host_024,benign
3,host_025,benign
3,host_026,benign
3,host_027,benign
3,host_028,benign
3,host_029,benign
3,host_030,benign
3,host_031,compromised
3,host_032,benign
3,host_033,benign
3,host_034,benign
3,host_035,benign
3,host_036,compromised
3,host_037,benign
3,host_038,compromised
3,host_039,benign
3,host_040,benign
3,host_041,benign
3,host_042,benign
3,host_043,benign
3,host_044,benign
3,host_045,benign
3,host_046,benign
3,host_047,suspicious
3,host_048,benign
3,host_049,compromised
4,host_000,benign
4,host_001,suspicious
4,host_002,benign
4,host_003,benign
4,host_004,compromised
4,host_005,benign
4,host_006,benign
4,host_007,benign
4,host_008,benign
4,host_009,benign
4,host_010,benign
4,host_011,suspicious
4,host_012,benign
4,host_013,benign
4,host_014,benign
4,host_015,benign
4,host_016,benign
4,host_017,benign
4,host_018,benign
4,host_019,suspicious
4,host_020,benign
4,host_021,compromised
4,host_022,benign
4,host_023,benign
4,host_024,benign
4,host_025,benign
4,host_026,benign
4,host_027,suspicious
4,host_028,benign
4,host_029,benign
4,host_030,benign
4,host_031,compromised
4,host_032,benign
4,host_033,benign
4,host_034,benign
4,host_035,benign
4,host_036,compromised
4,host_037,benign
4,host_038,compromised
4,host_039,benign
4,host_040,benign
4,host_041,benign
4,host_042,benign
4,host_043,benign
4,host_044,benign
4,host_045,benign
4,host_046,benign
4,host_047,suspicious
4,host_048,benign
