event_id,delivery_time,generated_time,host_id,event_type,event_score,is_synthetic_flood,belief_before,belief_after,belief_delta,entropy_before,entropy_after,entropy_delta
event_000000,0,0,host_004,network_alert,0.8892330867563341,False,0.05,0.3923082716890835,0.3423082716890835,0.28639695711595625,0.966273013080417,0.6798760559644608
flood_event_009500,0,0,host_004,low_value_network_alert,0.246486118044839,True,0.3923082716890835,0.3523082716890835,-0.03999999999999998,0.966273013080417,0.9361126606006025,-0.030160352479814523
flood_event_005477,0,0,host_005,low_value_network_alert,0.24407843257628592,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
flood_event_008540,0,0,host_012,low_value_network_alert,0.12228538148825133,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
flood_event_000487,0,0,host_013,low_value_network_alert,0.17162584238291834,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
flood_event_005082,0,0,host_021,low_value_network_alert,0.24069256935218172,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
flood_event_005499,0,0,host_022,low_value_network_alert,0.23180982811201295,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
flood_event_007023,0,0,host_023,low_value_network_alert,0.23739968644141454,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
flood_event_008428,0,0,host_025,low_value_network_alert,0.20278754563941756,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
flood_event_006458,0,0,host_029,low_value_network_alert,0.21765585521218736,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
event_000001,0,0,host_031,endpoint_alert,0.6719991164520286,False,0.05,0.39799977911300716,0.34799977911300717,0.28639695711595625,0.9697685084077845,0.6833715512918282
event_000002,0,0,host_036,network_alert,0.8661007387608547,False,0.05,0.38652518469021363,0.33652518469021364,0.28639695711595625,0.9625204774002205,0.6761235202842643
flood_event_006591,0,0,host_038,low_value_network_alert,0.08669321344600245,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
flood_event_007866,0,0,host_038,low_value_network_alert,0.18879507344771967,True,0.010000000000000002,0.001,-0.009000000000000001,0.0807931358959112,0.011407757737461138,-0.06938537815845006
flood_event_010047,0,0,host_038,low_value_network_alert,0.060053133421932775,True,0.001,0.001,0.0,0.011407757737461138,0.011407757737461138,0.0
flood_event_004669,0,0,host_039,low_value_network_alert,0.1124090566600638,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
flood_event_004673,0,0,host_040,low_value_network_alert,0.21669866174012675,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
event_000003,0,0,host_045,network_alert,0.24945525697760965,False,0.05,0.2323638142444024,0.1823638142444024,0.28639695711595625,0.7821092580413247,0.49571230092536844
